"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"irwint.doi.gov","doi.gov","https://irwint.doi.gov","Department of the Interior","other","Yes","Yes","Yes","Yes","No","No","No","No","No"
"itsupport.doi.gov","doi.gov","https://itsupport.doi.gov","Department of the Interior","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"library.doi.gov","doi.gov","https://library.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"museums.doi.gov","doi.gov","https://museums.doi.gov","Department of the Interior","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"oha.doi.gov","doi.gov","https://www.oha.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"on.doi.gov","doi.gov","https://on.doi.gov","Department of the Interior","censys-snapshot, eot2016","No","Yes","No","Yes","No","No","No","No","No"
"ream.doi.gov","doi.gov","https://ream.doi.gov","Department of the Interior","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"revenuedata.doi.gov","doi.gov","https://revenuedata.doi.gov","Department of the Interior","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"safetynet.doi.gov","doi.gov","https://safetynet.doi.gov","Department of the Interior","rdns-snapshot, eot2016","No","Yes","No","Yes","No","No","No","No","No"
"search.doi.gov","doi.gov","https://search.doi.gov","Department of the Interior","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"secure.doi.gov","doi.gov","https://secure.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"securetransport.ibc.doi.gov","doi.gov","https://securetransport.ibc.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sft-tst.doi.gov","doi.gov","https://sft-tst.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"smis.doi.gov","doi.gov","https://smis.doi.gov","Department of the Interior","censys-snapshot, rdns-snapshot, eot2016","No","Yes","No","Yes","No","No","No","No","No"
"solicitor.doi.gov","doi.gov","https://solicitor.doi.gov","Department of the Interior","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"staging.doi.gov","doi.gov","https://staging.doi.gov","Department of the Interior","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"swmanagement.doi.gov","doi.gov","https://swmanagement.doi.gov","Department of the Interior","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"testbiamaps.doi.gov","doi.gov","https://testbiamaps.doi.gov","Department of the Interior","rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"useiti.doi.gov","doi.gov","https://useiti.doi.gov","Department of the Interior","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"vpn.doi.gov","doi.gov","https://vpn.doi.gov","Department of the Interior","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"doioig.gov","doioig.gov","https://www.doioig.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"forms.doioig.gov","doioig.gov","https://forms.doioig.gov","Department of the Interior","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"hrnfw1.doioig.gov","doioig.gov","https://hrnfw1.doioig.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"lakefw1.doioig.gov","doioig.gov","https://lakefw1.doioig.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"securemail1.doioig.gov","doioig.gov","https://securemail1.doioig.gov","Department of the Interior","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"meet.jcs.doj.gov","doj.gov","https://meet.jcs.doj.gov","Department of Justice","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"aqsweb.dol-esa.gov","dol-esa.gov","https://aqsweb.dol-esa.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cqs.dol-esa.gov","dol-esa.gov","https://cqs.dol-esa.gov","Department of Labor","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cqsweb.dol-esa.gov","dol-esa.gov","https://cqsweb.dol-esa.gov","Department of Labor","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ecabws.dol-esa.gov","dol-esa.gov","https://ecabws.dol-esa.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"eclaimant.dol-esa.gov","dol-esa.gov","https://eclaimant.dol-esa.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ofccp.dol-esa.gov","dol-esa.gov","https://ofccp.dol-esa.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"olms.dol-esa.gov","dol-esa.gov","https://olms.dol-esa.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"owcpconnect.dol-esa.gov","dol-esa.gov","https://owcpconnect.dol-esa.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"seaportal.dol-esa.gov","dol-esa.gov","https://seaportal.dol-esa.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"whd.dol-esa.gov","dol-esa.gov","https://whd.dol-esa.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"5500search.dol.gov","dol.gov","https://5500search.dol.gov","Department of Labor","dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"api.dol.gov","dol.gov","https://api.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"askebsa.dol.gov","dol.gov","https://www.askebsa.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"blog.dol.gov","dol.gov","https://blog.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cas.oig.dol.gov","dol.gov","https://cas.oig.dol.gov","Department of Labor","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"clear.dol.gov","dol.gov","https://clear.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmp.dol.gov","dol.gov","https://cmp.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmpdev.dol.gov","dol.gov","https://cmpdev.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmpdev2.dol.gov","dol.gov","https://cmpdev2.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmppreprod.dol.gov","dol.gov","https://cmppreprod.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmpstg.dol.gov","dol.gov","https://cmpstg.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmpstg2.dol.gov","dol.gov","https://cmpstg2.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmptst.dol.gov","dol.gov","https://cmptst.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cmptst2.dol.gov","dol.gov","https://cmptst2.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cxsearch.dol.gov","dol.gov","https://cxsearch.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"debsstage.dol.gov","dol.gov","https://debsstage.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"debstfs.dol.gov","dol.gov","https://debstfs.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","","","","","","Ready"
"debstrn.dol.gov","dol.gov","https://debstrn.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","","","","","","Ready"
"debsvpn.dol.gov","dol.gov","https://debsvpn.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"developer.dol.gov","dol.gov","https://developer.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"devtools.dol.gov","dol.gov","https://devtools.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"dmp.dol.gov","dol.gov","https://www.dmp.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"dol.gov","dol.gov","https://www.dol.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"doors.dol.gov","dol.gov","http://doors.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"ebsaft.dol.gov","dol.gov","https://ebsaft.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ecomp.dol.gov","dol.gov","https://www.ecomp.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"edit.blog.dol.gov","dol.gov","https://edit.blog.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"edit.dol.gov","dol.gov","https://edit.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"efast.dol.gov","dol.gov","https://www.efast.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"elaws.dol.gov","dol.gov","https://elaws.dol.gov","Department of Labor","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"endpoint.efast.dol.gov","dol.gov","https://endpoint.efast.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"enforcedata.dol.gov","dol.gov","https://enforcedata.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"enfxfr.dol.gov","dol.gov","https://enfxfr.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"federalregister.dol.gov","dol.gov","https://federalregister.dol.gov","Department of Labor","dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"flag.dol.gov","dol.gov","https://flag.dol.gov","Department of Labor","dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"gw.oig.dol.gov","dol.gov","https://gw.oig.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"jobcorps.dol.gov","dol.gov","https://jobcorps.dol.gov","Department of Labor","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"jobs.dol.gov","dol.gov","https://jobs.dol.gov","Department of Labor","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"jobview.doors.dol.gov","dol.gov","http://jobview.doors.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"join.video.dol.gov","dol.gov","https://join.video.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"library.dol.gov","dol.gov","https://library.dol.gov","Department of Labor","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"librarycatalog.dol.gov","dol.gov","https://librarycatalog.dol.gov","Department of Labor","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"lte.endpoint.efast.dol.gov","dol.gov","https://lte.endpoint.efast.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"lte.www.efast.dol.gov","dol.gov","https://lte.www.efast.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"m.dol.gov","dol.gov","https://m.dol.gov","Department of Labor","eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"oalj.dol.gov","dol.gov","https://oalj.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"oig.dol.gov","dol.gov","https://oig.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"olms.dol.gov","dol.gov","https://www.olms.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"onthego.dol.gov","dol.gov","https://onthego.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"owcpconnect.dol.gov","dol.gov","https://owcpconnect.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"owcpmed.dol.gov","dol.gov","https://owcpmed.dol.gov","Department of Labor","censys-snapshot, dap","No","Yes","No","Yes","No","No","No","No","No"
"portal.dol.gov","dol.gov","https://portal.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"rsaportal.dol.gov","dol.gov","https://rsaportal.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"s.dol.gov","dol.gov","http://s.dol.gov","Department of Labor","eot2016","No","No","Yes","Yes","No","No","No","No","Ready"
"saversummit.dol.gov","dol.gov","https://www.saversummit.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"savingmatters.dol.gov","dol.gov","https://savingmatters.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"search.dol.gov","dol.gov","https://search.dol.gov","Department of Labor","rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"searchappeals.dol.gov","dol.gov","https://searchappeals.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"seasonaljobs.dol.gov","dol.gov","https://seasonaljobs.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"section14c.dol.gov","dol.gov","https://section14c.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"section14capi.dol.gov","dol.gov","https://section14capi.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"sem.dol.gov","dol.gov","https://sem.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"shimshosting.dol.gov","dol.gov","https://shimshosting.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"sil-dmz08-vcse01.video.dol.gov","dol.gov","https://sil-dmz08-vcse01.video.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sil-dmz10-vcse02.video.dol.gov","dol.gov","https://sil-dmz10-vcse02.video.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sil-vcsecl.video.dol.gov","dol.gov","https://sil-vcsecl.video.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sso.dol.gov","dol.gov","https://sso.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ssoapp.dol.gov","dol.gov","https://ssoapp.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ssodev.dol.gov","dol.gov","https://ssodev.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"staging.blog.dol.gov","dol.gov","https://staging.blog.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","No"
"staging.dol.gov","dol.gov","https://staging.dol.gov","Department of Labor","censys-snapshot, dap","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"stl-dmz01-vcse02.video.dol.gov","dol.gov","https://stl-dmz01-vcse02.video.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stl-dmz03-vcse01.video.dol.gov","dol.gov","https://stl-dmz03-vcse01.video.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"stl-vcsecl.video.dol.gov","dol.gov","https://stl-vcsecl.video.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"sts.oig.dol.gov","dol.gov","https://sts.oig.dol.gov","Department of Labor","rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"support.dol.gov","dol.gov","https://support.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"training.dmp.dol.gov","dol.gov","https://training.dmp.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"training.ecomp.dol.gov","dol.gov","https://training.ecomp.dol.gov","Department of Labor","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"vets100.dol.gov","dol.gov","https://vets100.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"vets1010.dol.gov","dol.gov","https://vets1010.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"vets4212.dol.gov","dol.gov","https://vets4212.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"wagehour.dol.gov","dol.gov","https://wagehour.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"webapps.dol.gov","dol.gov","https://webapps.dol.gov","Department of Labor","censys-snapshot, rdns-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"youth.dol.gov","dol.gov","https://youth.dol.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"youthrules.dol.gov","dol.gov","https://youthrules.dol.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"doleta.gov","doleta.gov","https://www.doleta.gov","Department of Labor","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ebss.doleta.gov","doleta.gov","https://www.ebss.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"egrantsreporting.doleta.gov","doleta.gov","https://egrantsreporting.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"etareports.doleta.gov","doleta.gov","https://etareports.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"foreignlaborcert.doleta.gov","doleta.gov","https://foreignlaborcert.doleta.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"icert.doleta.gov","doleta.gov","https://icert.doleta.gov","Department of Labor","censys-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"icertstage.doleta.gov","doleta.gov","https://icertstage.doleta.gov","Department of Labor","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"infospace.doleta.gov","doleta.gov","http://infospace.doleta.gov","Department of Labor","censys-snapshot, eot2016","No","No","Preloaded","Yes","No","No","No","No","Ready"
"jobcorps.doleta.gov","doleta.gov","https://jobcorps.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"lcr-pjr.doleta.gov","doleta.gov","https://lcr-pjr.doleta.gov","Department of Labor","dap, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ndwg.doleta.gov","doleta.gov","https://ndwg.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ndwgtest.doleta.gov","doleta.gov","https://ndwgtest.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"oa.doleta.gov","doleta.gov","https://oa.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"oui.doleta.gov","doleta.gov","https://oui.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ows.doleta.gov","doleta.gov","https://ows.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"panelreview.doleta.gov","doleta.gov","https://panelreview.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plc.doleta.gov","doleta.gov","https://www.plc.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"rapids.doleta.gov","doleta.gov","https://www.rapids.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"remote2.doleta.gov","doleta.gov","https://remote2.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"reports.doleta.gov","doleta.gov","https://www.reports.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"sparq.doleta.gov","doleta.gov","https://sparq.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"test.doleta.gov","doleta.gov","https://test.doleta.gov","Department of Labor","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testebss.doleta.gov","doleta.gov","https://testebss.doleta.gov","Department of Labor","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testetareports.doleta.gov","doleta.gov","https://testetareports.doleta.gov","Department of Labor","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testoflc.doleta.gov","doleta.gov","https://testoflc.doleta.gov","Department of Labor","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testwdr.doleta.gov","doleta.gov","https://testwdr.doleta.gov","Department of Labor","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"unemploymentinsurance.doleta.gov","doleta.gov","https://unemploymentinsurance.doleta.gov","Department of Labor","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"wdr.doleta.gov","doleta.gov","https://wdr.doleta.gov","Department of Labor","censys-snapshot, rdns-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"workforcesecurity.doleta.gov","doleta.gov","https://workforcesecurity.doleta.gov","Department of Labor","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"donaciondeorganos.gov","donaciondeorganos.gov","https://donaciondeorganos.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"betacn.donotcall.gov","donotcall.gov","https://betacn.donotcall.gov","Federal Trade Commission","dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"betacp.donotcall.gov","donotcall.gov","https://betacp.donotcall.gov","Federal Trade Commission","eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"complaints.donotcall.gov","donotcall.gov","https://complaints.donotcall.gov","Federal Trade Commission","rdns-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"dnchelp.donotcall.gov","donotcall.gov","https://dnchelp.donotcall.gov","Federal Trade Commission","rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"donotcall.gov","donotcall.gov","https://donotcall.gov","Federal Trade Commission","dotgov","No","No","No","","","","","","Yes"
"dr-www.donotcall.gov","donotcall.gov","http://dr-www.donotcall.gov","Federal Trade Commission","eot2016","No","No","Preloaded","","","","","","No"
"telemarketing.donotcall.gov","donotcall.gov","https://telemarketing.donotcall.gov","Federal Trade Commission","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"dontserveteens.gov","dontserveteens.gov","http://dontserveteens.gov","Federal Trade Commission","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"382reporting.ost.dot.gov","dot.gov","https://382reporting.ost.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ac-1.dot.gov","dot.gov","https://ac-1.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"ac-2.dot.gov","dot.gov","https://ac-2.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"ac.dot.gov","dot.gov","https://ac.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ac1.dot.gov","dot.gov","https://ac1.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"ac2.dot.gov","dot.gov","https://ac2.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"acbackup.dot.gov","dot.gov","https://acbackup.dot.gov","Department of Transportation","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"access.dot.gov","dot.gov","http://access.dot.gov","Department of Transportation","censys-snapshot","No","No","Yes","Yes","No","No","No","No","No"
"adfs.dot.gov","dot.gov","https://adfs.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot, eot2016","No","Yes","No","No","Yes","No","No","No","No"
"ai.fmcsa.dot.gov","dot.gov","https://ai.fmcsa.dot.gov","Department of Transportation","dap, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","Ready"
"airconsumer.dot.gov","dot.gov","https://airconsumer.dot.gov","Department of Transportation","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"amc.vntsc.dot.gov","dot.gov","https://amc.vntsc.dot.gov","Department of Transportation","censys-snapshot","No","Yes","Yes","No","Yes","No","No","No","Ready"
"animalreport.ost.dot.gov","dot.gov","https://animalreport.ost.dot.gov","Department of Transportation","censys-snapshot, rdns-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"app.seavision.volpe.dot.gov","dot.gov","https://app.seavision.volpe.dot.gov","Department of Transportation","censys-snapshot","Yes","Yes","Yes","Yes","No","No","No","No","No"
"ask.fmcsa.dot.gov","dot.gov","https://ask.fmcsa.dot.gov","Department of Transportation","censys-snapshot, eot2016","Yes","Yes","Yes","Yes","No","No","No","No","No"
"av.dot.gov","dot.gov","http://av.dot.gov","Department of Transportation","censys-snapshot","No","No","No","","","","","","No"
